Date,Open,High,Low,Close,Adj Close,Volume
2012-12-12,29460,29920,29460,29800,29.437313,15244450
2012-12-13,30000,30660,29860,30660,30.286846,30680500
2012-12-14,30320,30720,30160,30300,29.931229,13905250
2012-12-17,30020,30480,29940,30060,29.694147,15511100
2012-12-18,30000,30320,29900,30300,29.931229,13538450
2012-12-20,30300,30580,29900,30060,29.694147,20128500
2012-12-21,29860,29920,28800,28840,28.489002,27576200
2012-12-24,28960,29520,28840,29480,29.121216,14488550
2012-12-26,29600,30060,29400,29400,29.042183,14038700
2012-12-27,29400,30000,29400,29920,39.677727,9143900
2012-12-28,29760,30600,29740,30440,40.367317,10562750
2013-01-02,30660,31520,30540,31520,41.799534,11449650
2013-01-03,31640,31680,30860,30860,40.92429,14227400
2013-01-04,30800,30840,30200,30500,40.446884,12999800
2013-01-07,30300,30560,30000,30400,40.314274,12610950
2013-01-08,30260,30340,29960,30000,39.783821,13822250
2013-01-09,30000,30260,29820,30000,39.783821,12659950
2013-01-10,30300,30680,30000,30600,40.579487,14663600
2013-01-11,30960,30960,30140,30660,40.659054,11913550
2013-01-14,30780,31040,30560,31040,41.162991,7999950
2013-01-15,31200,31200,30240,30240,40.102085,10727150
2013-01-16,30280,30520,29660,29840,39.571636,16221000
2013-01-17,30040,30040,29000,29380,38.96162,20236700
2013-01-18,29600,29740,29100,29600,39.253361,12516600
2013-01-21,29280,29500,28960,29080,38.563778,14519650
2013-01-22,28900,29740,28900,29600,39.253361,11947400
2013-01-23,30000,30040,29460,29460,39.067699,9293550
2013-01-24,29360,29380,28820,29060,38.537251,15999050
2013-01-25,29200,29220,28100,28340,37.582451,21795250
2013-01-28,27920,28020,27420,27440,36.388939,30852150
2013-01-29,27800,28360,27600,28180,37.370266,21616550
2013-01-30,28520,28800,28240,28800,38.192471,16170100
2013-01-31,28600,28960,28440,28960,38.404652,16052800
2013-02-01,29200,29200,28440,28820,38.218983,11576200
2013-02-04,29000,29060,28340,28740,38.112892,12861900
2013-02-05,28300,28860,28280,28700,38.059845,11388100
2013-02-06,28800,28860,28540,28540,37.847668,6897150
2013-02-07,28780,28780,28400,28400,37.66201,9721100
2013-02-08,28360,29400,28300,29240,38.775967,13423850
2013-02-12,29680,29680,29180,29360,38.935097,8419750
2013-02-13,29480,29780,29120,29740,39.439022,9209050
2013-02-14,29800,29880,29540,29800,39.518585,7534100
2013-02-15,29800,29960,29540,29960,39.730766,7599950
2013-02-18,29800,30020,29620,29800,39.518585,7109950
2013-02-19,29600,29980,29580,29840,39.571636,6132250
2013-02-20,30040,30900,29940,30900,40.977337,18039350
2013-02-21,30800,31160,30700,31000,41.10994,13123650
2013-02-22,30600,30960,30400,30600,40.579487,13852650
2013-02-25,30980,30980,30600,30600,40.579487,8897550
2013-02-26,30300,30760,30160,30540,40.499924,9244750
2013-02-27,31180,31180,30380,30540,40.499924,8938200
2013-02-28,30600,31080,30600,30880,40.950813,12784200
2013-03-04,31260,31260,30600,30780,40.818195,13276850
2013-03-05,31120,31280,30960,31000,41.10994,9294600
2013-03-06,31440,31500,30940,31200,41.375179,10148650
2013-03-07,30960,31000,30240,30400,40.314274,13482700
2013-03-08,30300,30340,29780,29980,39.757294,18941000
2013-03-11,29860,30240,29700,30160,39.995998,13748250
2013-03-12,30080,30240,29800,29880,39.62468,8746550
2013-03-13,30120,30580,30020,30540,40.499924,11303550
2013-03-14,30560,30680,29980,30400,40.314274,12557800
2013-03-15,30580,30580,29600,29600,39.253361,36618350
2013-03-18,29200,29200,28680,28900,38.325077,26439550
2013-03-19,29000,29840,28960,29500,39.12075,13977100
2013-03-20,29200,29700,29120,29200,38.722916,13515750
2013-03-21,29220,29480,29120,29140,38.643345,11768550
2013-03-22,29160,29360,29040,29100,38.590302,10687100
2013-03-25,29600,29900,29400,29900,39.651203,10272050
2013-03-26,29900,30440,29820,30180,40.022526,16830000
2013-03-27,30300,30320,29740,30080,39.8899,12881400
2013-03-28,30060,30200,29940,30200,40.049042,7989600
2013-03-29,30480,30640,30340,30540,40.499924,9533700
2013-04-01,30700,30700,30240,30240,40.102085,5295500
2013-04-02,30200,30640,30200,30500,40.446884,8574850
2013-04-03,30520,30560,30180,30420,40.34079,10882700
2013-04-04,30340,30380,29980,30120,39.942951,10700450
2013-04-05,30100,30320,29860,30100,39.916428,14977350
2013-04-08,30100,30620,29940,30400,40.314274,12959500
2013-04-09,30540,30600,30200,30560,40.526443,9244000
2013-04-10,30800,30800,30260,30420,40.34079,11779700
2013-04-11,30420,30800,30360,30800,40.844711,11291500
2013-04-12,30800,31000,30260,30340,40.234692,10744050
2013-04-15,30060,30700,30060,30460,40.393837,10767300
2013-04-16,30100,30640,30020,30560,40.526443,18551850
2013-04-17,31320,31320,30280,30360,40.261227,10491100
2013-04-18,30400,30440,29620,29660,39.332943,13358400
2013-04-19,29300,29840,29100,29500,39.12075,15704000
2013-04-22,29800,30060,29300,30060,39.863377,9335850
2013-04-23,30000,30060,29480,29660,39.332943,8864850
2013-04-24,29700,29880,29480,29720,39.412502,10086550
2013-04-25,29400,29880,29400,29880,39.62468,10463900
2013-04-26,29900,29940,29440,29720,39.412502,11651600
2013-04-29,29820,29840,29500,29620,39.279888,8500150
2013-04-30,29800,30600,29760,30400,40.314274,18705000
2013-05-02,30520,30640,30340,30560,40.526443,10048950
2013-05-03,30700,30740,30420,30700,40.712112,6559050
2013-05-06,30800,30800,30240,30280,40.155132,8654300
2013-05-07,30160,30160,29820,29860,39.598164,11434500
2013-05-08,29860,29960,29580,29760,39.465546,14921950
2013-05-09,29800,30400,29780,30300,40.181648,10806150
2013-05-10,30280,30280,29520,29520,39.147282,11794850
2013-05-13,29420,29600,29240,29540,39.173805,8750100
2013-05-14,29740,30000,29660,30000,39.783821,9002650
2013-05-15,29700,30000,29680,30000,39.783821,10594800
2013-05-16,30020,30280,30000,30160,39.995998,14657550
2013-05-20,30040,30240,29920,29940,39.704247,12288850
2013-05-21,30200,30200,29700,29840,39.571636,11600400
2013-05-22,30080,30200,29820,30180,40.022526,9923100
2013-05-23,29840,30040,29680,29680,39.359459,11994150
2013-05-24,29740,29880,29440,29720,39.412502,10190600
2013-05-27,29800,29980,29740,29780,39.492062,6146400
2013-05-28,29620,29920,29620,29680,39.359459,11588050
2013-05-29,29680,30460,29660,30240,40.102085,14760550
2013-05-30,30360,30980,30240,30880,40.950813,22778000
2013-05-31,30920,31180,30740,30760,40.791668,18025050
2013-06-03,30720,31180,30560,30640,40.632534,10309450
2013-06-04,30660,30840,30420,30800,40.844711,8496600
2013-06-05,30980,31060,30420,30420,40.34079,13590650
2013-06-07,29500,29700,28480,28540,37.847668,54290800
2013-06-10,28400,28860,28280,28500,37.794628,26677700
2013-06-11,28220,28380,27560,27780,36.839817,34613000
2013-06-12,27560,28060,27240,27700,36.733727,22887650
2013-06-13,27600,27940,27140,27140,35.991093,33509850
2013-06-14,27300,27540,27140,27380,36.309361,17558350
2013-06-17,27400,27560,27300,27320,36.229797,11758450
2013-06-18,27360,27740,27200,27740,36.786774,11043050
2013-06-19,27640,27700,27280,27380,36.309361,10270250
2013-06-20,26860,26960,26520,26580,35.248463,17817950
2013-06-21,25880,26660,25800,26500,35.142368,27677800
2013-06-24,27000,27000,26260,26260,34.8241,15847900
2013-06-25,26020,26360,25760,25940,34.399746,20774950
2013-06-26,26020,26100,24900,25220,33.444923,31751200
2013-06-27,25900,26880,25720,26780,36.23201,25756150
2013-06-28,27000,27000,26580,26840,36.313187,20961250
2013-07-01,26680,26920,26440,26520,35.880241,12825950
2013-07-02,26800,27040,26600,26700,36.123764,10214450
2013-07-03,26680,26780,25900,26020,35.203766,12822050
2013-07-04,26040,26340,25920,26340,35.636707,9042650
2013-07-05,25720,26300,25200,25340,34.283752,30382800
2013-07-08,25000,25160,24180,24520,33.174335,26480150
2013-07-09,24600,25000,24580,24740,33.471989,19694950
2013-07-10,24900,25040,24740,24960,33.769642,17305650
2013-07-11,25020,26240,25020,26240,35.501415,20788350
