Dates,Nikkei 225 Index (^N225) - Index Value
Dec-14-2011,8519.13
Dec-15-2011,8377.37
Dec-16-2011,8401.72
Dec-19-2011,8296.12
Dec-20-2011,8336.48
Dec-21-2011,8459.98
Dec-22-2011,8395.16
Dec-26-2011,8479.34
Dec-27-2011,8440.56
Dec-28-2011,8423.62
Dec-29-2011,8398.89
Dec-30-2011,8455.35
Jan-04-2012,8560.11
Jan-05-2012,8488.71
Jan-06-2012,8390.35
Jan-10-2012,8422.26
Jan-11-2012,8447.88
Jan-12-2012,8385.59
Jan-13-2012,8500.02
Jan-16-2012,8378.36
Jan-17-2012,8466.40
Jan-18-2012,8550.58
Jan-19-2012,8639.68
Jan-20-2012,8766.36
Jan-23-2012,8765.90
Jan-24-2012,8785.33
Jan-25-2012,8883.69
Jan-26-2012,8849.47
Jan-27-2012,8841.22
Jan-30-2012,8793.05
Jan-31-2012,8802.51
Feb-01-2012,8809.79
Feb-02-2012,8876.82
Feb-03-2012,8831.93
Feb-06-2012,8929.20
Feb-07-2012,8917.52
Feb-08-2012,9015.59
Feb-09-2012,9002.24
Feb-10-2012,8947.17
Feb-13-2012,8999.18
Feb-14-2012,9052.07
Feb-15-2012,9260.34
Feb-16-2012,9238.10
Feb-17-2012,9384.17
Feb-20-2012,9485.09
Feb-21-2012,9463.02
Feb-22-2012,9554.00
Feb-23-2012,9595.57
Feb-24-2012,9647.38
Feb-27-2012,9633.93
Feb-28-2012,9722.52
Feb-29-2012,9723.24
Mar-01-2012,9707.37
Mar-02-2012,9777.03
Mar-05-2012,9698.59
Mar-06-2012,9637.63
Mar-07-2012,9576.06
Mar-08-2012,9768.96
Mar-09-2012,9929.74
Mar-12-2012,9889.86
Mar-13-2012,9899.08
Mar-14-2012,10050.52
Mar-15-2012,10123.28
Mar-16-2012,10129.83
Mar-19-2012,10141.99
Mar-21-2012,10086.49
Mar-22-2012,10127.08
Mar-23-2012,10011.47
Mar-26-2012,10018.24
Mar-27-2012,10255.15
Mar-28-2012,10182.57
Mar-29-2012,10114.79
Mar-30-2012,10083.56
Apr-02-2012,10109.87
Apr-03-2012,10050.39
Apr-04-2012,9819.99
Apr-05-2012,9767.61
Apr-06-2012,9688.45
Apr-09-2012,9546.26
Apr-10-2012,9538.02
Apr-11-2012,9458.74
Apr-12-2012,9524.79
Apr-13-2012,9637.99
Apr-16-2012,9470.64
Apr-17-2012,9464.71
Apr-18-2012,9667.26
Apr-19-2012,9588.38
Apr-20-2012,9561.36
Apr-23-2012,9542.17
Apr-24-2012,9468.04
Apr-25-2012,9561.01
Apr-26-2012,9561.83
Apr-27-2012,9520.89
May-01-2012,9350.95
May-02-2012,9380.25
May-07-2012,9119.14
May-08-2012,9181.65
