Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2018-04-30,9426.110352,9166.810547,9477.136719,9240.546875,9240.546875,0,BTCUSD=X
2018-05-01,9251.472656,8891.046875,9255.882813,9119.012695,9119.012695,0,BTCUSD=X
2018-05-02,9104.599609,9015.140625,9256.516602,9235.921875,9235.921875,0,BTCUSD=X
2018-05-03,9233.96875,9188.15332,9798.331055,9743.863281,9743.863281,0,BTCUSD=X
2018-05-04,9695.50293,9585.962891,9779.195313,9700.760742,9700.760742,0,BTCUSD=X
2018-05-07,9645.666992,9231.530273,9665.851563,9373.010742,9373.010742,0,BTCUSD=X
2018-05-08,9380.87207,9127.768555,9462.751953,9234.821289,9234.821289,0,BTCUSD=X
2018-05-09,9223.730469,9031.620117,9374.759766,9325.183594,9325.183594,0,BTCUSD=X
2018-05-10,9325.957031,9040.520508,9396.041992,9043.938477,9043.938477,0,BTCUSD=X
2018-05-11,9052.960938,8394.458984,9052.960938,8441.490234,8441.490234,0,BTCUSD=X
2018-05-14,8713.101563,8367.969727,8881.121094,8716.791992,8716.791992,0,BTCUSD=X
2018-05-15,8705.19043,8456.452148,8836.193359,8510.37793,8510.37793,0,BTCUSD=X
2018-05-16,8504.40625,8175.492188,8508.429688,8368.831055,8368.831055,0,BTCUSD=X
2018-05-17,8370.049805,8054.117188,8445.540039,8094.321289,8094.321289,0,BTCUSD=X
2018-05-18,8091.83252,7974.818848,8274.118164,8250.967773,8250.967773,0,BTCUSD=X
2018-05-21,8522.330078,8365.121094,8557.518555,8418.989258,8418.989258,0,BTCUSD=X
2018-05-22,8419.868164,8004.578613,8423.251953,8041.778809,8041.778809,0,BTCUSD=X
2018-05-23,8037.080078,7507.879395,8054.662109,7557.818848,7557.818848,0,BTCUSD=X
2018-05-24,7561.12207,7331.141602,7738.602051,7587.339844,7587.339844,0,BTCUSD=X
2018-05-25,7592.299805,7392.649902,7659.137695,7480.142578,7480.142578,0,BTCUSD=X
2018-05-28,7371.30957,7100.891113,7419.046875,7135.991699,7135.991699,0,BTCUSD=X
2018-05-29,7129.458496,7090.679688,7526.419434,7472.59082,7472.59082,0,BTCUSD=X
2018-05-30,7469.732422,7313.598145,7573.771973,7406.518555,7406.518555,0,BTCUSD=X
2018-05-31,7406.151367,7361.129883,7608.902832,7494.16748,7494.16748,0,BTCUSD=X
2018-06-01,7500.699707,7407.341309,7604.730469,7541.449707,7541.449707,0,BTCUSD=X
2018-06-04,7722.532227,7474.04248,7753.818848,7514.469238,7514.469238,0,BTCUSD=X
2018-06-05,7500.901855,7397.002441,7643.232422,7633.762695,7633.762695,0,BTCUSD=X
2018-06-06,7625.967285,7502.010742,7680.432129,7653.979004,7653.979004,0,BTCUSD=X
2018-06-07,7650.822754,7650.822754,7741.268066,7678.23877,7678.23877,0,BTCUSD=X
2018-06-08,7685.142578,7558.401855,7698.187988,7624.920898,7624.920898,0,BTCUSD=X
2018-06-11,6799.289063,6706.629395,6910.181641,6906.921387,6906.921387,0,BTCUSD=X
2018-06-12,6905.819824,6542.079102,6907.961426,6582.359863,6582.359863,0,BTCUSD=X
2018-06-13,6596.880371,6285.631348,6631.660156,6349.899414,6349.899414,0,BTCUSD=X
2018-06-14,6342.750977,6334.458008,6707.141602,6675.349121,6675.349121,0,BTCUSD=X
2018-06-15,6674.079102,6433.871582,6681.080078,6456.578125,6456.578125,0,BTCUSD=X
2018-06-18,6510.069336,6446.680176,6781.141602,6734.818848,6734.818848,0,BTCUSD=X
2018-06-19,6742.388184,6709.918457,6822.501465,6769.939453,6769.939453,0,BTCUSD=X
2018-06-20,6770.760254,6611.880371,6821.561523,6776.550781,6776.550781,0,BTCUSD=X
2018-06-21,6780.088379,6715.167969,6810.940918,6729.742188,6729.742188,0,BTCUSD=X
