Date,Close,Ticker
Aug-09-2016,1231.75,Russell 2000
Aug-10-2016,1223.27,Russell 2000
Aug-11-2016,1229.12,Russell 2000
Aug-12-2016,1229.82,Russell 2000
Aug-15-2016,1241.86,Russell 2000
Aug-16-2016,1231.13,Russell 2000
Aug-17-2016,1227.68,Russell 2000
Aug-18-2016,1236.85,Russell 2000
Aug-19-2016,1236.77,Russell 2000
Aug-22-2016,1239.74,Russell 2000
Aug-23-2016,1248.58,Russell 2000
Aug-24-2016,1237.25,Russell 2000
Aug-25-2016,1240.01,Russell 2000
Aug-26-2016,1238.03,Russell 2000
Aug-29-2016,1244.94,Russell 2000
Aug-30-2016,1246.03,Russell 2000
Aug-31-2016,1239.91,Russell 2000
Sep-01-2016,1239.8,Russell 2000
Sep-02-2016,1251.83,Russell 2000
Sep-06-2016,1253.37,Russell 2000
Sep-07-2016,1261.01,Russell 2000
Sep-08-2016,1258.36,Russell 2000
Sep-09-2016,1219.21,Russell 2000
Sep-12-2016,1235.87,Russell 2000
Sep-13-2016,1212.32,Russell 2000
Sep-14-2016,1211.59,Russell 2000
Sep-15-2016,1227.02,Russell 2000
Sep-16-2016,1224.78,Russell 2000
Sep-19-2016,1232.53,Russell 2000
Sep-20-2016,1228.33,Russell 2000
Sep-21-2016,1245.04,Russell 2000
Sep-22-2016,1263.44,Russell 2000
Sep-23-2016,1254.62,Russell 2000
Sep-26-2016,1240.94,Russell 2000
Sep-27-2016,1246.38,Russell 2000
Sep-28-2016,1255.67,Russell 2000
Sep-29-2016,1237.75,Russell 2000
Sep-30-2016,1251.65,Russell 2000
Oct-03-2016,1245.78,Russell 2000
Oct-04-2016,1239.78,Russell 2000
Oct-05-2016,1248.37,Russell 2000
Oct-06-2016,1246.24,Russell 2000
Oct-07-2016,1236.56,Russell 2000
Oct-10-2016,1250.76,Russell 2000
Oct-11-2016,1227.62,Russell 2000
Oct-12-2016,1227.23,Russell 2000
Oct-13-2016,1215.75,Russell 2000
Oct-14-2016,1212.41,Russell 2000
Oct-17-2016,1210.14,Russell 2000
Oct-18-2016,1217.3,Russell 2000
Oct-19-2016,1222.64,Russell 2000
Oct-20-2016,1219.79,Russell 2000
Oct-21-2016,1218.1,Russell 2000
Oct-24-2016,1226.45,Russell 2000
Oct-25-2016,1216.1,Russell 2000
Oct-26-2016,1204.75,Russell 2000
Oct-27-2016,1189.95,Russell 2000
Oct-28-2016,1187.61,Russell 2000
Oct-31-2016,1191.39,Russell 2000
Nov-01-2016,1177.94,Russell 2000
Nov-02-2016,1162.53,Russell 2000
Nov-03-2016,1156.89,Russell 2000
Nov-04-2016,1163.44,Russell 2000
Nov-07-2016,1192.25,Russell 2000
Nov-08-2016,1195.14,Russell 2000
Nov-09-2016,1232.16,Russell 2000
Nov-10-2016,1251.61,Russell 2000
Nov-11-2016,1282.38,Russell 2000
Nov-14-2016,1298.6,Russell 2000
Nov-15-2016,1302.14,Russell 2000
Nov-16-2016,1302.2,Russell 2000
Nov-17-2016,1309.49,Russell 2000
Nov-18-2016,1315.64,Russell 2000
Nov-21-2016,1322.23,Russell 2000
Nov-22-2016,1334.34,Russell 2000
Nov-23-2016,1342.09,Russell 2000
Nov-25-2016,1347.2,Russell 2000
Nov-28-2016,1329.83,Russell 2000
Nov-29-2016,1328.22,Russell 2000
Nov-30-2016,1322.34,Russell 2000
Dec-01-2016,1313.8,Russell 2000
Dec-02-2016,1314.25,Russell 2000
Dec-05-2016,1337.79,Russell 2000
Dec-06-2016,1352.67,Russell 2000
Dec-07-2016,1364.51,Russell 2000
Dec-08-2016,1386.37,Russell 2000
Dec-09-2016,1388.07,Russell 2000
Dec-12-2016,1373.14,Russell 2000
Dec-13-2016,1373.53,Russell 2000
Dec-14-2016,1356.02,Russell 2000
Dec-15-2016,1366.41,Russell 2000
Dec-16-2016,1364.4,Russell 2000
Dec-19-2016,1371.68,Russell 2000
Dec-20-2016,1383.96,Russell 2000
Dec-21-2016,1375.19,Russell 2000
Dec-22-2016,1362.66,Russell 2000
Dec-23-2016,1371.51,Russell 2000
Dec-27-2016,1377.71,Russell 2000
Dec-28-2016,1360.83,Russell 2000
Dec-29-2016,1363.18,Russell 2000
Dec-30-2016,1357.13,Russell 2000
Jan-03-2017,1365.49,Russell 2000
Jan-04-2017,1387.95,Russell 2000
Jan-05-2017,1371.94,Russell 2000
Jan-06-2017,1367.28,Russell 2000
Jan-09-2017,1357.49,Russell 2000
Jan-10-2017,1370.9,Russell 2000
Jan-11-2017,1373.3,Russell 2000
Jan-12-2017,1361.07,Russell 2000
Jan-13-2017,1372.05,Russell 2000
Jan-17-2017,1352.32,Russell 2000
Jan-18-2017,1358.56,Russell 2000
Jan-19-2017,1345.74,Russell 2000
Jan-20-2017,1351.85,Russell 2000
Jan-23-2017,1347.84,Russell 2000
Jan-24-2017,1369.21,Russell 2000
